Class,Course,Section,Course code,School level,Start term,Block,Max class size
PA1020 Fit for Life - PA1020-005,PA1020 Fit for Life,PA1020-005,PA1020,NCSSM Durham,2nd Semester,A2L,20
PA1020 Fit for Life - PA1020-006,PA1020 Fit for Life,PA1020-006,PA1020,NCSSM Durham,2nd Semester,G2L,20
PA1020 Fit for Life - PA1020-007,PA1020 Fit for Life,PA1020-007,PA1020,NCSSM Durham,2nd Semester,B4L,20
PA1020 Fit for Life - PA1020-008,PA1020 Fit for Life,PA1020-008,PA1020,NCSSM Durham,2nd Semester,F4L,20
PH3500 Physics Core: Mechanics - PH3500-007,PH3500 Physics Core: Mechanics,PH3500-007,PH3500,NCSSM Durham,2nd Semester,F1234L,18
PH3500 Physics Core: Mechanics - PH3500-008,PH3500 Physics Core: Mechanics,PH3500-008,PH3500,NCSSM Durham,2nd Semester,B134L5,18
"PH3920 Waves, Sound, and Optics - PH3920-001","PH3920 Waves, Sound, and Optics",PH3920-001,PH3920,NCSSM Durham,2nd Semester,A12L45,20
"PH3920 Waves, Sound, and Optics - PH3920-002","PH3920 Waves, Sound, and Optics",PH3920-002,PH3920,NCSSM Durham,2nd Semester,G12L34,20
"PH3920 Waves, Sound, and Optics - PH3920-003","PH3920 Waves, Sound, and Optics",PH3920-003,PH3920,NCSSM Durham,2nd Semester,C13L45,20
PH4000 Physics Core: E&M - PH4000-002,PH4000 Physics Core: E&M,PH4000-002,PH4000,NCSSM Durham,2nd Semester,E123L5,18
PH4000 Physics Core: E&M - PH4000-003,PH4000 Physics Core: E&M,PH4000-003,PH4000,NCSSM Durham,2nd Semester,D1235L,18
PH4000 Physics Core: E&M - PH4000-004,PH4000 Physics Core: E&M,PH4000-004,PH4000,NCSSM Durham,2nd Semester,B134L5,18
PH4000 Physics Core: E&M - PH4000-005,PH4000 Physics Core: E&M,PH4000-005,PH4000,NCSSM Durham,2nd Semester,F1234L,18
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) - PH4020-009,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),PH4020-009,PH4020,NCSSM Durham,2nd Semester,G12L34,20
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) - PH4020-010,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),PH4020-010,PH4020,NCSSM Durham,2nd Semester,C13L45,20
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) - PH4020-011,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),PH4020-011,PH4020,NCSSM Durham,2nd Semester,E123L5,20
PH4120 Physics Core: E&M (Math Intensive) (*M*) - PH4120-002,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4120-002,PH4120,NCSSM Durham,2nd Semester,A12L45,20
PH4120 Physics Core: E&M (Math Intensive) (*M*) - PH4120-003,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4120-003,PH4120,NCSSM Durham,2nd Semester,C13L45,20
PH4120 Physics Core: E&M (Math Intensive) (*M*) - PH4120-004,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4120-004,PH4120,NCSSM Durham,2nd Semester,G12L34,20
PH4120 Physics Core: E&M (Math Intensive) (*M*) - PH4120-005,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4120-005,PH4120,NCSSM Durham,2nd Semester,E123L5,20
PH4120 Physics Core: E&M (Math Intensive) (*M*) - PH4120-006,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4120-006,PH4120,NCSSM Durham,2nd Semester,D1235L,20
PH4150/EE4150 Elements of Satellite Design - PH4150/EE4150-001,PH4150/EE4150 Elements of Satellite Design,PH4150/EE4150-001,PH4150/EE4150,NCSSM Durham,2nd Semester,F1234L,20
PH4180 Astrophysics - PH4180-002,PH4180 Astrophysics,PH4180-002,PH4180,NCSSM Durham,2nd Semester,B134L5,20
PH4180 Astrophysics - PH4180-003,PH4180 Astrophysics,PH4180-003,PH4180,NCSSM Durham,2nd Semester,F1234L,20
PH4241 AP Physics C: E&M - PH4241-001,PH4241 AP Physics C: E&M,PH4241-001,PH4241,NCSSM Durham,2nd Semester,A12L45,20
PH4921 Research in Physics II (*R*) - PH4921-001,PH4921 Research in Physics II (*R*),PH4921-001,PH4921,NCSSM Durham,2nd Semester,F1234LG12L34,6
RE1012 Public Speaking - RE1012-005,RE1012 Public Speaking,RE1012-005,RE1012,NCSSM Durham,2nd Semester,A4,16
RE1012 Public Speaking - RE1012-006,RE1012 Public Speaking,RE1012-006,RE1012,NCSSM Durham,2nd Semester,E3,16
RE1012 Public Speaking - RE1012-007,RE1012 Public Speaking,RE1012-007,RE1012,NCSSM Durham,2nd Semester,G3,16
RE1018 Excellence in Leadership - RE1018-001,RE1018 Excellence in Leadership,RE1018-001,RE1018,NCSSM Durham,2nd Semester,B4,22
RE1018 Excellence in Leadership - RE1018-002,RE1018 Excellence in Leadership,RE1018-002,RE1018,NCSSM Durham,2nd Semester,E2,22
